timestamp,SpeedPeakZ
2023-02-18 10:14:41,4.199999809265137
2023-02-18 10:49:41,4.360000133514404
2023-02-18 11:49:42,4.029999732971191
2023-02-18 13:09:43,4.299999713897705
2023-02-19 00:49:52,4.0
2023-02-20 05:35:15,4.579999923706055
2023-02-20 06:05:15,4.170000076293945
2023-02-20 06:20:15,4.150000095367432
2023-02-20 06:30:15,4.130000114440918
2023-02-20 06:50:16,4.059999942779541
2023-02-20 07:10:16,3.980000019073486
2023-02-20 09:15:18,4.190000057220459
2023-02-24 10:16:35,5.369999885559082
2023-02-24 10:26:35,4.319999694824219
2023-02-24 10:31:35,5.759999752044678
2023-02-24 17:46:41,4.009999752044678
2023-02-24 18:01:41,4.009999752044678
2023-02-24 18:16:41,4.159999847412109
2023-02-24 18:36:41,4.119999885559082
2023-02-24 19:06:42,4.210000038146973
2023-02-24 19:06:43,4.079999923706055
2023-02-24 19:36:42,4.400000095367432
2023-02-24 19:46:42,4.420000076293945
2023-02-24 19:51:42,4.029999732971191
2023-02-24 21:36:44,4.049999713897705
2023-02-24 23:21:45,4.089999675750732
2023-02-24 23:46:45,3.990000009536743
2023-02-25 03:16:48,4.059999942779541
2023-02-25 04:46:49,4.539999961853027
2023-02-25 08:31:52,4.069999694824219
2023-02-25 13:51:56,4.389999866485596
2023-02-25 14:01:56,4.289999961853027
2023-02-25 19:22:01,4.599999904632568
2023-02-25 19:37:01,4.019999980926514
2023-02-25 22:22:03,4.069999694824219
2023-02-26 06:17:09,4.289999961853027
2023-02-26 11:47:14,4.019999980926514
2023-02-27 00:22:24,4.21999979019165
2023-02-27 07:17:29,3.980000019073486
